Team ID,Team Name,League,Start Year,End Year,Total Years,Games Played,Wins,Losses,Win-Loss %,Playoff Appearances,Division Titles,Conference Titles,Championships
ATL, Atlanta Hawks,1949-50,2024-25,76,5939,2929,3010,.493,49,12,0,1
BOS, Boston Celtics,1946-47,2024-25,79,6116,3636,2480,.595,61,34,11,18
NJN, Brooklyn Nets,1967-68,2024-25,58,4614,2028,2586,.440,31,5,2,2
CHA, Charlotte Hornets,1988-89,2024-25,35,2715,1175,1540,.433,10,0,0,0
CHI, Chicago Bulls,1966-67,2024-25,59,4682,2384,2298,.509,36,9,6,6
CLE, Cleveland Cavaliers,1970-71,2024-25,55,4355,2034,2321,.467,24,7,5,1
DAL, Dallas Mavericks,1980-81,2024-25,45,3544,1798,1746,.507,25,5,3,1
DEN, Denver Nuggets,1967-68,2024-25,58,4614,2367,2247,.513,39,13,1,1
DET, Detroit Pistons,1948-49,2024-25,77,6000,2827,3173,.471,42,11,5,3
GSW, Golden State Warriors,1946-47,2024-25,79,6105,2971,3134,.487,37,12,7,7
HOU, Houston Rockets,1967-68,2024-25,58,4608,2370,2238,.514,34,8,4,2
IND, Indiana Pacers,1967-68,2024-25,58,4614,2358,2256,.511,37,9,1,3
LAC, Los Angeles Clippers,1970-71,2024-25,55,4361,1843,2518,.423,18,3,0,0
LAL, Los Angeles Lakers,1948-49,2024-25,77,6006,3552,2454,.591,64,33,19,17
MEM, Memphis Grizzlies,1995-96,2024-25,30,2313,999,1314,.432,13,2,0,0
MIA, Miami Heat,1988-89,2024-25,37,2886,1521,1365,.527,25,16,7,3
MIL, Milwaukee Bucks,1968-69,2024-25,57,4527,2390,2137,.528,36,19,3,2
MIN, Minnesota Timberwolves,1989-90,2024-25,36,2796,1148,1648,.411,12,1,0,0
NOH, New Orleans Pelicans,2002-03,2024-25,23,1770,833,937,.471,9,1,0,0
NYK, New York Knicks,1946-47,2024-25,79,6107,2975,3132,.487,45,8,4,2
OKC, Oklahoma City Thunder,1967-68,2024-25,58,4607,2471,2136,.536,33,12,4,1
ORL, Orlando Magic,1989-90,2024-25,36,2805,1317,1488,.470,17,7,2,0
PHI, Philadelphia 76ers,1949-50,2024-25,76,5943,3101,2842,.522,54,12,5,3
PHO, Phoenix Suns,1968-69,2024-25,57,4527,2430,2097,.537,33,8,3,0
POR, Portland Trail Blazers,1970-71,2024-25,55,4364,2292,2072,.525,37,6,3,1
SAC, Sacramento Kings,1948-49,2024-25,77,6006,2748,3258,.458,30,6,0,1
SAS, San Antonio Spurs,1967-68,2024-25,58,4612,2683,1929,.582,47,22,6,5
TOR, Toronto Raptors,1995-96,2024-25,30,2312,1097,1215,.474,13,7,1,1
UTA, Utah Jazz,1974-75,2024-25,51,4034,2177,1857,.540,31,11,2,0
WAS, Washington Wizards,1961-62,2024-25,64,5088,2272,2816,.447,30,8,4,1
