player_id,Pos,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_year,season_type
adebaba01,C,MIA,23,23,850,167,347,0,3,167,344,78,95,63,164,227,85,19,15,62,71,412,2023,playoff
aldamsa01,PF,MEM,6,0,101,15,33,7,15,8,18,2,2,7,19,26,7,3,0,2,5,39,2023,playoff
alexani01,SG,MIN,5,4,148,15,35,10,25,5,10,2,3,1,9,10,7,3,1,4,9,42,2023,playoff
allengr01,SG,MIL,5,5,149,19,41,14,29,5,12,6,7,1,11,12,9,2,0,4,7,58,2023,playoff
allenja01,C,CLE,5,5,191,22,36,0,0,22,36,3,6,15,22,37,12,4,5,3,10,47,2023,playoff
anderky01,PF,MIN,4,0,104,15,30,2,6,13,24,2,2,3,13,16,18,7,2,6,13,34,2023,playoff
antetgi01,PF,MIL,3,3,91,28,53,0,3,28,50,14,31,8,25,33,16,1,2,14,9,70,2023,playoff
antetth01,PF,MIL,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,playoff
aytonde01,C,PHO,10,10,319,61,111,0,0,61,111,12,23,29,68,97,10,6,7,17,35,134,2023,playoff
baldwpa01,SF,GSW,3,0,11,0,3,0,3,0,0,0,0,0,3,3,1,0,0,0,0,0,2023,playoff
bambamo01,C,LAL,3,0,10,0,2,0,1,0,1,0,0,0,3,3,1,0,1,0,0,0,2023,playoff
banede01,SG,MEM,6,6,231,49,116,16,50,33,66,27,29,7,29,36,19,3,0,17,19,141,2023,playoff
barneha02,PF,SAC,7,7,196,25,60,6,25,19,35,19,26,10,14,24,5,8,2,3,5,75,2023,playoff
barrerj01,SG,NYK,11,11,377,71,164,20,61,51,103,50,65,5,44,49,31,9,2,25,25,212,2023,playoff
batumni01,PF,LAC,5,3,92,8,19,6,17,2,2,0,0,1,10,11,6,2,2,2,10,22,2023,playoff
beaslma01,SG,LAL,11,0,91,10,34,7,26,3,8,6,6,3,5,8,2,1,0,2,6,33,2023,playoff
beaucma01,SF,MIL,2,0,5,2,3,1,1,1,2,0,0,0,1,1,0,0,0,0,0,5,2023,playoff
beysa01,SF,ATL,6,0,133,15,40,7,18,8,22,8,9,7,17,24,6,3,0,2,3,45,2023,playoff
biyombi01,C,PHO,8,0,78,9,16,0,0,9,16,9,18,10,17,27,6,0,10,6,18,27,2023,playoff
bogdabo01,SG,ATL,6,1,157,30,54,15,33,15,21,5,7,2,16,18,15,6,5,3,16,80,2023,playoff
bookede01,SG,PHO,11,11,459,141,241,31,61,110,180,58,67,12,41,53,79,19,9,32,37,371,2023,playoff
bostobr01,SF,LAC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,playoff
braunch01,SG,DEN,19,0,247,24,45,2,10,22,35,11,19,12,27,39,11,11,4,10,29,61,2023,playoff
bridgmi01,SG,BRK,4,4,157,33,77,10,25,23,52,18,23,2,19,21,16,2,2,8,5,94,2023,playoff
brogdma01,PG,BOS,19,0,474,82,196,33,87,49,109,29,35,13,53,66,55,3,5,19,29,226,2023,playoff
brookdi01,SF,MEM,6,6,167,24,77,10,42,14,35,5,7,3,15,18,11,1,0,7,20,63,2023,playoff
brownbr01,SF,DEN,20,0,530,90,176,18,57,72,119,42,49,15,65,80,38,21,9,23,49,240,2023,playoff
brownja02,SF,BOS,20,20,751,181,365,40,113,141,252,51,74,25,87,112,68,21,8,66,61,453,2023,playoff
browntr01,SF,LAL,12,0,124,10,28,2,15,8,13,0,0,4,20,24,11,2,1,0,4,22,2023,playoff
brunsja01,PG,NYK,11,11,443,109,230,26,80,83,150,62,68,9,45,54,62,16,1,23,26,306,2023,playoff
bryanth01,C,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,playoff
butleji01,PF,MIA,22,22,874,207,442,28,78,179,364,150,186,47,95,142,129,40,14,41,37,592,2023,playoff
caldwke01,SG,DEN,20,20,671,74,162,35,92,39,70,29,35,14,51,65,31,26,13,15,48,212,2023,playoff
cancavl01,PF,DEN,5,0,10,0,5,0,4,0,1,0,0,0,3,3,1,0,0,0,0,0,2023,playoff
capelca01,C,ATL,6,6,151,23,38,0,0,23,38,4,6,15,35,50,3,6,3,4,5,50,2023,playoff
carteje01,PG,MIL,4,0,49,2,9,1,7,1,2,0,0,0,4,4,4,1,0,0,1,5,2023,playoff
champju01,SF,BOS,4,0,10,1,4,0,3,1,1,0,0,0,0,0,0,0,0,0,2,2,2023,playoff
chrisma02,SG,LAL,9,0,33,5,10,1,4,4,6,2,4,1,6,7,3,0,1,0,0,13,2023,playoff
claxtni01,C,BRK,4,4,117,18,25,0,0,18,25,6,10,5,27,32,6,1,7,3,8,42,2023,playoff
coffeam01,SF,LAC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,playoff
collijo01,PF,ATL,6,6,164,26,60,11,32,15,28,5,6,7,19,26,5,2,6,9,13,68,2023,playoff
conlemi01,PG,MIN,5,5,183,20,42,10,22,10,20,10,11,2,11,13,32,3,0,7,11,60,2023,playoff
connapa01,SF,MIL,4,0,88,17,30,11,23,6,7,3,4,4,16,20,7,4,1,2,10,48,2023,playoff
covinro01,PF,LAC,2,0,12,0,3,0,2,0,1,0,0,0,2,2,2,0,1,0,2,0,2023,playoff
craigto01,PF,PHO,11,5,183,26,45,11,25,15,20,8,9,7,18,25,6,5,2,3,23,71,2023,playoff
crowdja01,PF,MIL,4,0,41,3,13,0,6,3,7,1,2,1,3,4,3,2,0,1,5,7,2023,playoff
curryse01,SG,BRK,3,0,58,10,19,3,9,7,10,2,3,0,3,3,6,0,0,1,2,25,2023,playoff
curryst01,PG,GSW,13,13,493,145,311,57,157,88,154,49,58,9,58,67,79,13,6,42,34,396,2023,playoff
davisan02,C,LAL,16,16,608,132,254,5,15,127,239,92,108,38,187,225,41,22,50,34,46,361,2023,playoff
