player_id,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_year,season_type
doncilu01,DAL,PG,70.0,70.0,2624.0,804.0,1652.0,284.0,744.0,520.0,908.0,478.0,608.0,59.0,588.0,647.0,686.0,99.0,38.0,282.0,149.0,2370.0,2024,regular
gilgesh01,OKC,PG,75.0,75.0,2553.0,796.0,1487.0,95.0,269.0,701.0,1218.0,567.0,649.0,65.0,350.0,415.0,465.0,150.0,67.0,162.0,184.0,2254.0,2024,regular
antetgi01,MIL,PF,73.0,73.0,2567.0,837.0,1369.0,34.0,124.0,803.0,1245.0,514.0,782.0,196.0,645.0,841.0,476.0,87.0,79.0,250.0,210.0,2222.0,2024,regular
brunsja01,NYK,PG,77.0,77.0,2726.0,790.0,1648.0,211.0,526.0,579.0,1122.0,421.0,497.0,43.0,235.0,278.0,519.0,70.0,13.0,186.0,144.0,2212.0,2024,regular
jokicni01,DEN,C,79.0,79.0,2737.0,822.0,1411.0,83.0,231.0,739.0,1180.0,358.0,438.0,223.0,753.0,976.0,708.0,108.0,68.0,237.0,194.0,2085.0,2024,regular
edwaran01,MIN,SG,79.0,78.0,2770.0,718.0,1558.0,190.0,532.0,528.0,1026.0,423.0,506.0,52.0,378.0,430.0,405.0,101.0,42.0,241.0,141.0,2049.0,2024,regular
duranke01,PHO,PF,75.0,75.0,2791.0,751.0,1436.0,168.0,407.0,583.0,1029.0,362.0,423.0,41.0,454.0,495.0,378.0,69.0,91.0,244.0,133.0,2032.0,2024,regular
tatumja01,BOS,PF,74.0,74.0,2645.0,672.0,1426.0,229.0,609.0,443.0,817.0,414.0,497.0,67.0,534.0,601.0,364.0,75.0,43.0,188.0,145.0,1987.0,2024,regular
foxde01,SAC,PG,74.0,74.0,2659.0,720.0,1549.0,214.0,580.0,506.0,969.0,312.0,423.0,67.0,273.0,340.0,418.0,150.0,31.0,194.0,193.0,1966.0,2024,regular
curryst01,GSW,PG,74.0,74.0,2421.0,650.0,1445.0,357.0,876.0,293.0,569.0,299.0,324.0,37.0,293.0,330.0,379.0,54.0,28.0,210.0,117.0,1956.0,2024,regular
derozde01,CHI,SF,79.0,79.0,2989.0,650.0,1355.0,75.0,225.0,575.0,1130.0,522.0,612.0,43.0,297.0,340.0,421.0,90.0,45.0,135.0,161.0,1897.0,2024,regular
davisan02,LAL,C,76.0,76.0,2700.0,713.0,1283.0,29.0,107.0,684.0,1176.0,421.0,516.0,239.0,722.0,961.0,266.0,91.0,178.0,159.0,177.0,1876.0,2024,regular
bookede01,PHO,PG,68.0,68.0,2447.0,642.0,1305.0,152.0,418.0,490.0,887.0,405.0,457.0,56.0,252.0,308.0,472.0,61.0,28.0,178.0,206.0,1841.0,2024,regular
